home_ownership,annual_inc,loan_amount,loan_condition
RENT,60000,12000,Good Loan
RENT,87996,8400,Good Loan
MORTGAGE,140000,28000,Good Loan
RENT,66000,14000,Good Loan
MORTGAGE,70000,12000,Bad Loan
MORTGAGE,100000,25000,Good Loan
RENT,50000,9000,Good Loan
RENT,35000,13250,Good Loan
RENT,75000,20000,Good Loan
RENT,71000,3000,Good Loan
MORTGAGE,48000,7350,Good Loan
RENT,36000,11500,Good Loan
MORTGAGE,86000,13650,Bad Loan
RENT,30000,10500,Bad Loan
RENT,60000,12000,Good Loan
RENT,34000,6000,Good Loan
MORTGAGE,44200,11500,Good Loan
MORTGAGE,82000,7000,Good Loan
MORTGAGE,83000,29500,Good Loan
RENT,41000,2000,Good Loan
MORTGAGE,36000,11625,Good Loan
RENT,35000,15075,Bad Loan
RENT,30000,5300,Good Loan
RENT,40000,8200,Good Loan
MORTGAGE,105000,12000,Good Loan
MORTGAGE,45000,8650,Good Loan
MORTGAGE,109000,21000,Good Loan
RENT,50000,16000,Good Loan
RENT,83000,12000,Good Loan
MORTGAGE,52500,9500,Bad Loan
OWN,25000,7400,Good Loan
MORTGAGE,60000,14400,Good Loan
MORTGAGE,120000,24250,Good Loan
RENT,68000,7200,Bad Loan
MORTGAGE,53000,26000,Bad Loan
MORTGAGE,69600,7000,Bad Loan
RENT,65000,4000,Good Loan
MORTGAGE,144000,1500,Good Loan
RENT,75000,19600,Good Loan
MORTGAGE,29000,2500,Good Loan
RENT,70000,10000,Bad Loan
RENT,45000,10000,Good Loan
MORTGAGE,55200,4225,Good Loan
MORTGAGE,61440,3500,Good Loan
MORTGAGE,56000,12000,Good Loan
RENT,47000,16500,Good Loan
RENT,55000,22000,Good Loan
RENT,71000,12000,Good Loan
RENT,50000,15600,Good Loan
RENT,135000,10800,Good Loan
MORTGAGE,63000,14000,Good Loan
MORTGAGE,44000,18825,Good Loan
MORTGAGE,50000,6000,Good Loan
RENT,80000,12000,Good Loan
RENT,45000,10000,Good Loan
RENT,78000,8000,Good Loan
RENT,33000,14125,Good Loan
RENT,62800,14000,Good Loan
RENT,26400,13200,Good Loan
MORTGAGE,80000,4000,Good Loan
RENT,25000,4000,Bad Loan
MORTGAGE,65000,10500,Good Loan
OWN,59000,5500,Good Loan
RENT,33000,7350,Good Loan
RENT,39000,10000,Bad Loan
RENT,42000,12000,Good Loan
MORTGAGE,38004,5000,Good Loan
OWN,31000,8000,Good Loan
MORTGAGE,50700,4500,Good Loan
OWN,75000,18000,Good Loan
MORTGAGE,30000,12300,Good Loan
RENT,40000,12000,Good Loan
MORTGAGE,50000,10000,Good Loan
MORTGAGE,80000,6000,Good Loan
RENT,40000,12000,Good Loan
RENT,80000,12000,Bad Loan
RENT,75000,7000,Good Loan
MORTGAGE,85000,35000,Good Loan
RENT,28800,1400,Good Loan
RENT,35000,16000,Bad Loan
RENT,61200,3200,Good Loan
RENT,40000,8000,Good Loan
RENT,25920,11875,Bad Loan
MORTGAGE,54000,5000,Good Loan
RENT,18000,1800,Good Loan
RENT,85000,35000,Good Loan
RENT,78000,18000,Good Loan
OWN,45600,14000,Bad Loan
RENT,70000,5000,Good Loan
RENT,70000,8000,Good Loan
MORTGAGE,80000,10000,Good Loan
RENT,50000,10000,Good Loan
MORTGAGE,35000,12000,Good Loan
MORTGAGE,65000,23200,Good Loan
MORTGAGE,84000,18000,Good Loan
MORTGAGE,75000,4800,Good Loan
RENT,35000,7300,Good Loan
RENT,40000,10400,Good Loan
MORTGAGE,100000,6600,Good Loan
OWN,40000,12000,Good Loan
RENT,52000,13250,Good Loan
RENT,92500,12000,Good Loan
RENT,61000,25000,Good Loan
RENT,36000,6000,Good Loan
MORTGAGE,68000,12000,Good Loan
RENT,80000,14400,Good Loan
RENT,43000,10000,Good Loan
RENT,150000,8000,Good Loan
RENT,50000,8000,Bad Loan
RENT,70000,30000,Bad Loan
OWN,40000,18000,Bad Loan
OWN,35000,13250,Good Loan
RENT,80000,14000,Good Loan
OWN,59000,20000,Bad Loan
RENT,40000,10000,Good Loan
RENT,85000,35000,Good Loan
RENT,55000,4000,Good Loan
RENT,110000,13000,Good Loan
RENT,100000,28000,Good Loan
RENT,62000,10000,Good Loan
RENT,45000,20000,Good Loan
RENT,110000,18000,Good Loan
RENT,60000,9000,Bad Loan
RENT,61500,25000,Bad Loan
RENT,33000,10000,Good Loan
RENT,61000,4200,Good Loan
OWN,78216,20000,Bad Loan
MORTGAGE,62000,18000,Bad Loan
RENT,50964,24000,Good Loan
RENT,43680,4475,Good Loan
MORTGAGE,56000,20000,Good Loan
RENT,50700,12000,Good Loan
MORTGAGE,60000,18000,Good Loan
RENT,30000,5000,Bad Loan
RENT,50000,3000,Good Loan
RENT,75000,25000,Good Loan
RENT,90000,18000,Good Loan
RENT,55000,12000,Bad Loan
MORTGAGE,50000,20000,Good Loan
RENT,84000,10000,Good Loan
OWN,155000,15000,Good Loan
MORTGAGE,62000,12000,Good Loan
MORTGAGE,175000,20000,Good Loan
RENT,30000,6300,Good Loan
RENT,50000,20000,Good Loan
MORTGAGE,208000,35000,Good Loan
MORTGAGE,35004,8250,Good Loan
OWN,85000,20000,Good Loan
RENT,32000,10000,Bad Loan
MORTGAGE,116400,24000,Bad Loan
MORTGAGE,40000,14400,Good Loan
RENT,34000,6000,Good Loan
MORTGAGE,73000,22000,Good Loan
RENT,57200,12000,Bad Loan
MORTGAGE,114000,16000,Good Loan
MORTGAGE,90000,10000,Good Loan
MORTGAGE,54000,16000,Good Loan
RENT,35000,10000,Bad Loan
RENT,56000,3500,Good Loan
RENT,35000,9600,Good Loan
MORTGAGE,40000,9875,Good Loan
OWN,59000,21500,Good Loan
RENT,48000,4800,Good Loan
OWN,85000,7800,Good Loan
MORTGAGE,70000,20000,Good Loan
RENT,35000,9750,Bad Loan
MORTGAGE,91000,18000,Good Loan
MORTGAGE,30000,5000,Good Loan
RENT,45000,9000,Good Loan
RENT,55000,7200,Good Loan
RENT,53004,3000,Good Loan
RENT,60000,25000,Bad Loan
OWN,82000,25000,Good Loan
RENT,53000,10000,Good Loan
MORTGAGE,35360,8875,Bad Loan
RENT,54000,15550,Good Loan
RENT,65000,17000,Good Loan
RENT,65000,7500,Good Loan
OWN,28800,8875,Good Loan
RENT,42000,4500,Good Loan
RENT,36000,5800,Good Loan
RENT,40000,10000,Good Loan
RENT,50000,10000,Good Loan
RENT,52000,14000,Good Loan
MORTGAGE,85000,25000,Good Loan
RENT,32000,12000,Bad Loan
OWN,75000,24000,Good Loan
RENT,80000,14000,Good Loan
MORTGAGE,40246,12000,Good Loan
OWN,30000,15000,Bad Loan
RENT,36000,8050,Bad Loan
RENT,60000,5600,Good Loan
RENT,31200,7500,Good Loan
RENT,90000,7000,Good Loan
RENT,40000,5400,Good Loan
RENT,90000,16000,Good Loan
MORTGAGE,105000,35000,Good Loan
RENT,30084,6000,Bad Loan
MORTGAGE,36000,4125,Good Loan
RENT,67000,9800,Good Loan
MORTGAGE,63000,15700,Good Loan
RENT,276000,5000,Good Loan
RENT,26400,9900,Good Loan
RENT,24000,4000,Good Loan
MORTGAGE,68400,15000,Good Loan
RENT,29120,6250,Good Loan
RENT,29120,6400,Good Loan
MORTGAGE,89122,8850,Good Loan
MORTGAGE,54000,12000,Good Loan
MORTGAGE,30000,15000,Good Loan
MORTGAGE,30000,6500,Good Loan
RENT,50000,8000,Good Loan
MORTGAGE,92000,30000,Good Loan
MORTGAGE,100500,15000,Good Loan
RENT,40000,10200,Good Loan
MORTGAGE,47000,9000,Good Loan
MORTGAGE,68000,6500,Good Loan
MORTGAGE,95000,23000,Good Loan
RENT,39600,2000,Good Loan
OWN,30000,8000,Good Loan
RENT,30000,8875,Good Loan
RENT,17000,1500,Bad Loan
RENT,42000,8000,Good Loan
RENT,75000,20000,Bad Loan
RENT,42000,6500,Good Loan
MORTGAGE,27000,9600,Good Loan
MORTGAGE,130000,25975,Good Loan
MORTGAGE,46000,10000,Good Loan
MORTGAGE,80000,15000,Good Loan
MORTGAGE,45000,9000,Good Loan
RENT,72500,10000,Good Loan
RENT,18408,1000,Bad Loan
RENT,30000,14000,Good Loan
RENT,50000,8500,Bad Loan
RENT,75000,15000,Good Loan
MORTGAGE,65000,4500,Good Loan
MORTGAGE,65000,3000,Good Loan
MORTGAGE,120000,10000,Good Loan
MORTGAGE,42500,21250,Good Loan
MORTGAGE,75000,33425,Bad Loan
RENT,195000,35000,Good Loan
RENT,54990,7200,Good Loan
RENT,40000,18000,Bad Loan
MORTGAGE,137000,23000,Good Loan
RENT,60000,20000,Bad Loan
RENT,30120,6000,Good Loan
RENT,46000,7000,Good Loan
MORTGAGE,135000,21000,Good Loan
MORTGAGE,31500,8250,Good Loan
RENT,65000,13000,Good Loan
MORTGAGE,78000,18000,Good Loan
MORTGAGE,60000,7200,Good Loan
RENT,48000,16500,Good Loan
RENT,25000,8125,Good Loan
MORTGAGE,82000,18800,Good Loan
MORTGAGE,82000,26800,Good Loan
MORTGAGE,42000,19200,Good Loan
RENT,27600,12875,Good Loan
MORTGAGE,38000,4000,Good Loan
RENT,35000,4000,Good Loan
OWN,33000,12000,Good Loan
MORTGAGE,52800,2625,Good Loan
MORTGAGE,40900,18000,Good Loan
RENT,73882,7000,Good Loan
MORTGAGE,36000,11300,Good Loan
MORTGAGE,130000,4000,Good Loan
MORTGAGE,57200,8000,Good Loan
RENT,51871,14400,Bad Loan
OWN,15000,4375,Good Loan
MORTGAGE,70197,4100,Good Loan
RENT,47000,6000,Good Loan
RENT,43000,4200,Bad Loan
MORTGAGE,120000,4000,Good Loan
MORTGAGE,86004,3000,Bad Loan
MORTGAGE,75000,5400,Good Loan
RENT,110000,15000,Bad Loan
MORTGAGE,80000,20000,Good Loan
RENT,44000,10400,Good Loan
MORTGAGE,51600,4500,Good Loan
RENT,38500,11500,Good Loan
RENT,75000,10000,Good Loan
MORTGAGE,37320,18225,Good Loan
RENT,55000,3600,Good Loan
RENT,100000,18500,Good Loan
MORTGAGE,70000,16800,Good Loan
RENT,68000,10000,Bad Loan
MORTGAGE,66000,15000,Good Loan
RENT,85000,8000,Good Loan
RENT,83004,25000,Good Loan
RENT,51000,16000,Bad Loan
RENT,55000,8000,Good Loan
MORTGAGE,47000,7200,Good Loan
RENT,86000,12000,Good Loan
OWN,48000,2200,Bad Loan
RENT,49000,20000,Good Loan
MORTGAGE,85000,28000,Good Loan
MORTGAGE,50000,6000,Good Loan
RENT,105000,25000,Good Loan
RENT,51204,8000,Bad Loan
RENT,42996,14400,Good Loan
RENT,60000,20000,Good Loan
MORTGAGE,85000,25000,Good Loan
MORTGAGE,120000,14050,Good Loan
OWN,62691,6000,Good Loan
MORTGAGE,36000,16100,Good Loan
OWN,85000,35000,Bad Loan
RENT,49668,10525,Good Loan
RENT,30000,7200,Good Loan
OWN,40000,18500,Good Loan
MORTGAGE,40000,12000,Good Loan
MORTGAGE,100000,12000,Good Loan
RENT,56312,3000,Good Loan
RENT,54011,9500,Good Loan
RENT,49110,19775,Good Loan
RENT,75000,12000,Bad Loan
MORTGAGE,95000,28000,Good Loan
RENT,80000,30000,Good Loan
MORTGAGE,55000,16000,Good Loan
RENT,90000,14500,Good Loan
RENT,68500,11700,Good Loan
RENT,100000,4150,Good Loan
MORTGAGE,72000,15000,Good Loan
RENT,70000,24000,Good Loan
RENT,37000,21250,Bad Loan
OWN,75000,10000,Good Loan
MORTGAGE,75000,25000,Good Loan
RENT,39000,4000,Good Loan
RENT,60000,15000,Good Loan
RENT,68000,20000,Good Loan
MORTGAGE,110000,15000,Good Loan
RENT,40000,3600,Good Loan
OWN,31000,6000,Good Loan
RENT,60000,15000,Bad Loan
RENT,43000,12000,Good Loan
RENT,42000,12375,Good Loan
RENT,30000,4000,Bad Loan
MORTGAGE,50000,13000,Good Loan
MORTGAGE,39396,5000,Good Loan
OWN,98000,5000,Good Loan
RENT,62500,26000,Good Loan
MORTGAGE,95000,15000,Good Loan
RENT,45000,4000,Bad Loan
RENT,32400,8000,Good Loan
MORTGAGE,37800,1700,Bad Loan
RENT,50000,16000,Good Loan
MORTGAGE,114996,20000,Good Loan
RENT,54400,12000,Bad Loan
MORTGAGE,72800,7000,Good Loan
RENT,42500,8000,Bad Loan
RENT,61000,13000,Good Loan
RENT,28000,13000,Bad Loan
OWN,120000,20000,Good Loan
MORTGAGE,96000,18000,Good Loan
RENT,83200,10000,Good Loan
RENT,45000,22250,Good Loan
RENT,68809,24000,Bad Loan
RENT,75000,11200,Bad Loan
RENT,52000,7000,Good Loan
RENT,57600,8000,Good Loan
RENT,48500,22500,Good Loan
RENT,95000,12000,Good Loan
RENT,58000,22000,Good Loan
MORTGAGE,24000,6200,Good Loan
MORTGAGE,58000,15900,Good Loan
MORTGAGE,70000,5000,Good Loan
MORTGAGE,104000,16000,Good Loan
RENT,35000,5000,Good Loan
RENT,53000,3150,Good Loan
RENT,28000,12000,Bad Loan
MORTGAGE,118000,28000,Bad Loan
RENT,40000,5000,Good Loan
MORTGAGE,42000,3000,Good Loan
MORTGAGE,65000,3000,Bad Loan
RENT,25000,8400,Good Loan
MORTGAGE,36000,7000,Good Loan
RENT,45000,18550,Good Loan
MORTGAGE,231252,2000,Good Loan
RENT,65000,12000,Good Loan
MORTGAGE,32000,8575,Bad Loan
MORTGAGE,84996,28000,Bad Loan
RENT,66000,10000,Good Loan
MORTGAGE,92000,25000,Good Loan
RENT,70000,8000,Good Loan
MORTGAGE,49000,16000,Bad Loan
MORTGAGE,76896,25000,Good Loan
RENT,24000,2000,Good Loan
RENT,60000,16800,Good Loan
MORTGAGE,120000,8000,Good Loan
MORTGAGE,57000,12000,Good Loan
MORTGAGE,80000,11000,Bad Loan
MORTGAGE,85000,5000,Bad Loan
OWN,140000,18000,Good Loan
OWN,36000,10000,Bad Loan
RENT,70000,5000,Good Loan
RENT,51360,10000,Good Loan
RENT,163000,25000,Good Loan
MORTGAGE,59393,2400,Good Loan
MORTGAGE,65000,3000,Bad Loan
RENT,29773,7700,Bad Loan
OWN,12996,2400,Good Loan
MORTGAGE,68000,18500,Good Loan
OWN,44475,5000,Good Loan
MORTGAGE,88000,14000,Good Loan
RENT,85000,24500,Bad Loan
MORTGAGE,36000,2400,Good Loan
RENT,117000,1800,Good Loan
RENT,160000,22200,Bad Loan
RENT,80000,21400,Good Loan
RENT,28000,13000,Bad Loan
RENT,48000,8000,Good Loan
MORTGAGE,60000,3600,Bad Loan
RENT,40000,12375,Bad Loan
RENT,45500,9400,Good Loan
MORTGAGE,156000,9600,Good Loan
RENT,40000,17000,Good Loan
MORTGAGE,96000,25000,Good Loan
MORTGAGE,50000,16950,Bad Loan
MORTGAGE,80000,30000,Good Loan
MORTGAGE,110000,10800,Good Loan
RENT,59400,6000,Good Loan
MORTGAGE,106000,35000,Good Loan
RENT,36000,10000,Good Loan
RENT,51000,15000,Good Loan
RENT,25000,5000,Good Loan
RENT,35000,3000,Good Loan
RENT,33000,7100,Bad Loan
MORTGAGE,93000,12000,Good Loan
RENT,85000,22400,Bad Loan
RENT,50000,5825,Good Loan
RENT,41000,22250,Bad Loan
RENT,50000,18000,Good Loan
RENT,30000,6000,Good Loan
RENT,57000,7650,Bad Loan
RENT,110000,21000,Good Loan
RENT,50132,20675,Bad Loan
MORTGAGE,62500,13200,Good Loan
RENT,60000,12000,Good Loan
RENT,130000,20000,Good Loan
RENT,60000,15000,Good Loan
MORTGAGE,65000,27050,Good Loan
MORTGAGE,67735,22500,Good Loan
RENT,47800,20500,Bad Loan
MORTGAGE,99600,12800,Good Loan
MORTGAGE,54000,27575,Good Loan
RENT,49000,7000,Good Loan
RENT,33996,7600,Good Loan
RENT,65000,29000,Bad Loan
RENT,44160,10000,Good Loan
RENT,32000,14125,Good Loan
MORTGAGE,94500,12000,Good Loan
RENT,19498,9575,Good Loan
RENT,30000,12000,Good Loan
MORTGAGE,88000,12000,Bad Loan
RENT,45000,10000,Good Loan
RENT,37500,10000,Good Loan
MORTGAGE,89000,25000,Good Loan
RENT,120000,24000,Good Loan
RENT,35000,14575,Good Loan
MORTGAGE,50000,9000,Good Loan
RENT,30000,10000,Bad Loan
RENT,25280,7125,Good Loan
RENT,29000,15000,Good Loan
RENT,65000,13000,Good Loan
RENT,30000,12000,Good Loan
RENT,68000,18000,Good Loan
RENT,90000,30000,Good Loan
MORTGAGE,58600,21600,Bad Loan
OWN,50000,7600,Good Loan
RENT,85000,7000,Good Loan
RENT,45000,7000,Good Loan
MORTGAGE,44004,3600,Good Loan
MORTGAGE,84996,3500,Good Loan
RENT,33000,5000,Good Loan
MORTGAGE,60000,10000,Good Loan
OWN,19200,4500,Good Loan
RENT,62000,12000,Good Loan
RENT,38500,12000,Good Loan
RENT,68000,10700,Good Loan
RENT,30000,6000,Good Loan
RENT,50000,20000,Good Loan
RENT,23000,10800,Good Loan
RENT,50400,25000,Good Loan
RENT,110000,20000,Good Loan
RENT,40000,3600,Good Loan
RENT,83954,6000,Good Loan
RENT,35000,10375,Good Loan
RENT,60000,25000,Good Loan
RENT,40000,10000,Good Loan
RENT,42336,10000,Good Loan
OWN,41100,5600,Good Loan
RENT,92000,6000,Good Loan
RENT,75000,8000,Good Loan
RENT,90000,35000,Good Loan
MORTGAGE,45000,10000,Good Loan
RENT,48000,11000,Good Loan
MORTGAGE,110000,5000,Good Loan
RENT,30600,6500,Good Loan
RENT,69000,20000,Good Loan
RENT,45000,12000,Good Loan
RENT,27500,8250,Bad Loan
MORTGAGE,150500,21000,Good Loan
RENT,32000,8400,Good Loan
RENT,37500,7000,Good Loan
RENT,60000,12000,Bad Loan
RENT,33000,7200,Bad Loan
RENT,70000,12000,Good Loan
RENT,75000,12800,Good Loan
RENT,16800,3050,Good Loan
RENT,38000,9000,Good Loan
OWN,35000,10000,Bad Loan
MORTGAGE,95000,10000,Good Loan
MORTGAGE,77400,10000,Bad Loan
RENT,61000,8500,Good Loan
RENT,70000,35000,Good Loan
RENT,67000,7200,Good Loan
MORTGAGE,90000,21000,Good Loan
OWN,140000,27000,Good Loan
OWN,55000,28625,Good Loan
RENT,32400,4000,Good Loan
RENT,50000,7300,Good Loan
MORTGAGE,70000,18000,Good Loan
OWN,35000,5000,Good Loan
MORTGAGE,46212,6500,Good Loan
RENT,43000,14100,Good Loan
MORTGAGE,140000,35000,Good Loan
MORTGAGE,115000,10000,Good Loan
RENT,45000,3000,Good Loan
RENT,95000,25000,Good Loan
MORTGAGE,235000,28000,Good Loan
RENT,36000,10000,Good Loan
RENT,26000,12000,Good Loan
RENT,80000,10000,Good Loan
RENT,50000,11000,Good Loan
RENT,55000,10000,Good Loan
MORTGAGE,55000,5000,Good Loan
RENT,64424,5000,Good Loan
RENT,56000,5000,Good Loan
RENT,30000,6000,Bad Loan
MORTGAGE,111740,5000,Good Loan
RENT,67500,20050,Good Loan
RENT,41000,7000,Bad Loan
RENT,120000,25000,Good Loan
RENT,30000,3000,Bad Loan
RENT,41500,8400,Good Loan
RENT,60000,24925,Good Loan
MORTGAGE,75000,5000,Good Loan
RENT,80000,12000,Good Loan
RENT,42000,12000,Good Loan
MORTGAGE,41600,13200,Bad Loan
RENT,48000,6000,Good Loan
MORTGAGE,50000,10000,Good Loan
RENT,70000,17500,Good Loan
RENT,53000,6500,Good Loan
MORTGAGE,65000,10000,Good Loan
RENT,85000,12000,Good Loan
RENT,55000,10000,Good Loan
RENT,36000,12375,Good Loan
RENT,26000,10000,Good Loan
RENT,70000,20000,Bad Loan
RENT,80000,4400,Good Loan
MORTGAGE,80000,25000,Good Loan
MORTGAGE,45696,14125,Bad Loan
MORTGAGE,100000,35000,Good Loan
RENT,62000,13600,Good Loan
RENT,50000,20000,Good Loan
OWN,66000,18000,Bad Loan
OWN,80000,13000,Good Loan
MORTGAGE,100000,35000,Good Loan
MORTGAGE,123000,35000,Good Loan
RENT,70000,12000,Good Loan
MORTGAGE,60000,7200,Good Loan
MORTGAGE,150000,25000,Good Loan
RENT,80000,4000,Good Loan
RENT,31000,7000,Good Loan
MORTGAGE,90000,15000,Good Loan
RENT,61600,12800,Good Loan
MORTGAGE,71316,35000,Bad Loan
RENT,42000,15000,Good Loan
RENT,34000,7200,Good Loan
RENT,36000,13000,Good Loan
RENT,65000,28000,Good Loan
RENT,35000,12000,Good Loan
RENT,50000,16000,Bad Loan
RENT,62004,14000,Good Loan
RENT,74000,11500,Good Loan
MORTGAGE,42000,10500,Good Loan
OWN,48000,14400,Good Loan
RENT,65000,16000,Good Loan
RENT,15360,5375,Good Loan
MORTGAGE,61000,12000,Good Loan
RENT,83000,12000,Bad Loan
MORTGAGE,120000,17000,Good Loan
RENT,106000,30000,Good Loan
RENT,42000,13000,Bad Loan
MORTGAGE,30000,7125,Bad Loan
RENT,32000,14000,Good Loan
RENT,72100,8000,Good Loan
RENT,58000,12500,Good Loan
RENT,40000,10000,Good Loan
RENT,75000,12000,Good Loan
RENT,48880,14000,Good Loan
RENT,48000,7500,Good Loan
MORTGAGE,40000,19200,Good Loan
MORTGAGE,110000,9000,Good Loan
MORTGAGE,60000,16000,Good Loan
RENT,65000,20000,Good Loan
MORTGAGE,50000,9000,Good Loan
